date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
15-17-05,0,0,53,35,0,48,0,0,0,0,0,0,33,0,36,0
15-18-05,0,0,53,35,0,49,0,31,0,0,0,0,33,0,37,0
15-19-05,0,0,53,35,0,48,0,0,0,0,0,0,33,0,37,0
15-20-05,0,0,53,35,0,48,0,0,0,0,0,0,33,0,38,0
15-21-05,0,0,52,36,0,49,0,31,0,0,0,0,33,0,37,0
15-22-05,0,0,53,35,0,47,0,31,0,0,0,0,34,0,36,0
15-23-05,0,0,53,35,0,48,0,31,0,0,0,0,33,0,36,0
15-24-05,0,0,53,35,0,48,0,31,0,0,0,0,33,0,36,0
15-25-05,0,0,53,35,0,48,0,0,0,0,0,0,33,0,36,0
15-26-05,0,0,53,34,0,49,0,31,0,0,0,0,34,0,38,0
15-27-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
15-28-05,0,0,53,34,0,48,0,0,0,0,0,0,33,0,38,0
15-29-05,0,0,53,34,0,48,0,0,0,0,0,0,33,0,38,0
15-30-05,0,0,53,34,0,48,0,0,0,0,0,0,33,0,38,0
15-31-05,0,0,53,34,0,48,0,0,0,0,0,0,33,0,38,0
15-32-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,37,0
15-33-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
15-34-05,0,0,53,33,0,49,0,31,0,0,0,0,33,0,38,0
15-35-05,0,0,53,34,0,48,0,0,0,0,0,0,33,0,38,0
15-36-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
15-37-05,0,0,53,34,0,49,0,31,0,0,0,0,33,0,38,0
15-38-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
15-39-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
15-40-05,0,0,53,34,0,49,0,31,0,0,0,0,33,0,38,0
15-41-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
15-42-05,0,0,53,34,0,48,0,0,0,0,0,0,33,0,38,0
15-43-05,0,0,53,34,0,49,0,0,0,0,0,0,33,0,37,0
15-44-05,0,0,53,34,0,49,0,31,0,0,0,0,33,0,38,0
15-45-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
15-46-05,0,0,53,34,0,48,0,0,0,0,0,0,33,0,38,0
15-47-05,0,0,52,34,0,48,0,31,0,0,0,0,33,0,38,0
15-48-05,0,0,52,34,0,48,0,0,0,0,0,0,33,0,38,0
15-49-05,0,0,52,34,0,49,0,31,0,0,0,0,34,0,38,0
15-50-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
15-51-05,0,0,53,34,0,48,0,31,0,0,0,0,34,0,38,0
15-52-05,0,0,53,34,0,47,0,0,0,0,0,0,33,0,38,0
15-53-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
15-54-05,0,0,52,34,0,48,0,31,0,0,0,0,33,0,38,0
15-55-05,0,0,53,34,0,48,0,0,0,0,0,0,33,0,38,0
15-56-05,0,0,53,34,0,48,0,0,0,0,0,0,33,0,38,0
15-57-05,0,0,52,34,0,49,0,31,0,0,0,0,33,0,38,0
15-58-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
15-59-05,0,0,53,34,0,48,0,0,0,0,0,0,33,0,38,0
16-00-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
16-01-05,0,0,52,34,0,47,0,31,0,0,0,0,33,0,38,0
16-02-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
16-03-05,0,0,53,34,0,48,0,0,0,0,0,0,33,0,38,0
16-04-05,0,0,53,34,0,48,0,0,0,0,0,0,33,0,38,0
16-05-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
16-06-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
16-07-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
16-08-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
16-09-05,0,0,53,34,0,48,0,31,0,0,0,0,33,0,38,0
16-10-05,0,0,52,34,0,0,0,31,0,0,0,0,33,0,38,0
16-11-05,0,0,53,34,0,0,0,31,0,0,0,0,33,0,38,0
16-12-05,0,0,53,34,0,0,0,31,0,0,0,0,33,0,38,0
16-13-05,0,0,53,34,0,0,0,0,0,0,0,0,33,0,38,0
16-14-05,0,0,53,34,0,0,0,31,0,0,0,0,33,0,38,0
16-15-05,0,0,52,34,0,0,0,31,0,0,0,0,33,0,38,0
16-16-05,0,0,52,34,0,0,0,31,0,0,0,0,33,0,38,0
16-17-05,0,0,53,34,0,0,0,31,0,0,0,0,34,0,38,0
16-18-05,0,0,53,34,0,0,0,0,0,0,0,0,33,0,38,0
16-19-05,0,0,52,34,0,0,0,31,0,0,0,0,33,0,38,0
16-20-05,0,0,53,34,0,0,0,0,0,0,0,0,33,0,38,0
16-21-05,0,0,53,34,0,0,0,31,0,0,0,0,34,0,38,0
16-22-05,0,0,52,34,0,0,0,0,0,0,0,0,33,0,38,0
16-23-05,0,0,53,34,0,0,0,0,0,0,0,0,33,0,38,0
16-24-05,0,0,52,34,0,0,0,0,0,0,0,0,33,0,38,0
16-25-05,0,0,52,34,0,0,0,0,0,0,0,0,33,0,38,0
16-26-05,0,0,53,34,0,0,0,0,0,0,0,0,33,0,38,0
16-27-05,0,0,53,34,0,0,0,0,0,0,0,0,33,0,38,0
16-28-05,0,0,52,34,0,0,0,0,0,0,0,0,34,0,38,0
16-29-05,0,0,52,34,0,0,0,0,0,0,0,0,33,0,39,0
16-30-05,0,0,53,34,0,0,0,0,0,0,0,0,33,0,38,0
16-31-05,0,0,53,34,0,0,0,0,0,0,0,0,33,0,38,0
16-32-05,0,0,53,34,0,0,0,0,0,0,0,0,33,0,38,0
16-33-05,0,0,53,34,0,0,0,0,0,0,0,0,33,0,38,0
16-34-05,0,0,53,34,0,0,0,0,0,0,0,0,33,0,38,0
16-35-05,0,0,52,0,0,0,0,0,0,0,0,0,33,0,38,0
16-36-05,0,0,53,0,0,0,0,0,0,0,0,0,33,0,38,0
16-37-05,0,0,53,0,0,0,0,0,0,0,0,0,33,0,38,0
16-38-05,0,0,52,0,0,0,0,0,0,0,0,0,33,0,38,0
16-39-05,0,0,53,0,0,0,0,0,0,0,0,0,33,0,38,0
16-40-05,0,0,52,0,0,0,0,0,0,0,0,0,33,0,38,0
16-41-05,0,0,52,0,0,0,0,0,0,0,0,0,33,0,38,0
16-42-05,0,0,52,0,0,0,0,0,0,0,0,0,33,0,39,0
16-43-05,0,0,52,0,0,0,0,0,0,0,0,0,33,0,38,0
16-44-05,0,0,52,0,0,0,0,0,0,0,0,0,33,0,39,0
16-45-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
16-46-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
16-47-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
16-48-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
16-49-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
16-50-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
